instance_start_time,instance_end_time,time_window_hours,costs,T,T_mean,wtc,callsigns,transit_times,transit_time_difference,entry_times,relative_transit_times,cost_transit_time_diff,wind_score,dangerous_phenom_score,precip_score,vis_ceiling_score,freezing_score,feats
2024-08-01 06:28:39,2024-08-01 06:40:36,0.19916666666666666,"[1.0796, 1.0796, 3.259333333333333, 0.7143999999999999, 1.0796]","[1691.2142857142858, 1761.2758620689656, 1634.0357142857142, 1462.5555555555557, 1624.9032258064517]","[1634.7969286861946, 1634.7969286861946, 1634.7969286861946, 1634.7969286861946, 1634.7969286861946]","['M', 'M', 'H', 'M', 'M']","['AUR600A', 'EZY14AV', 'BAW2JA', 'EJU84FQ', 'VLG8EK']","[1153.0, 1372.0, 1046.0, 1243.0, 1107.0]","[-481.79692868619463, -262.79692868619463, -588.7969286861946, -391.79692868619463, -527.7969286861946]","[Timestamp('2024-08-01 06:28:39+0000', tz='UTC'), Timestamp('2024-08-01 06:30:58+0000', tz='UTC'), Timestamp('2024-08-01 06:34:01+0000', tz='UTC'), Timestamp('2024-08-01 06:36:15+0000', tz='UTC'), Timestamp('2024-08-01 06:40:36+0000', tz='UTC')]","[2787.7969286861944, 3145.7969286861944, 3002.7969286861944, 3333.7969286861944, 3458.7969286861944]","[-520.1479642096157, -283.7155642096157, -1919.0854562312036, -279.8997258534174, -569.8095642096157]",0.0,0.0,0.0,0.0,0.0,"[[2.37861769345385, 3.175549402834859, -1.9582447437142425, -0.7549710943054118], [-1.0540606147807603, 1.7573605668546375, 0.13071557552442686, 0.9774727087932039], [0.3630315080276585, -0.19425519577983522, -2.593350524666786, 1.6542537299167033], [2.1192132439404396, 1.7467216927041387, 1.2141455931596177, -0.6777510804247897], [-2.328830824659635, 0.7844704779221006, 0.15053426092142952, -0.3965724930486131]]"
2024-08-01 06:49:53,2024-08-01 07:01:50,0.19916666666666666,"[1.0796, 1.0796, 1.0796, 0.7143999999999999, 0.7143999999999999]","[1658.7586206896551, 1724.04, 1950.111111111111, 1781.1612903225807, 1578.12]","[1738.4382044246693, 1738.4382044246693, 1738.4382044246693, 1738.4382044246693, 1738.4382044246693]","['M', 'M', 'M', 'M', 'M']","['VLG6305', 'BTI6G1', 'EZY95QG', 'NOZ32A', 'EJU16FG']","[945.0, 1309.0, 1431.0, 1675.0, 1443.0]","[-793.4382044246693, -429.43820442466927, -307.43820442466927, -63.438204424669266, -295.43820442466927]","[Timestamp('2024-08-01 06:49:53+0000', tz='UTC'), Timestamp('2024-08-01 06:50:06+0000', tz='UTC'), Timestamp('2024-08-01 06:51:34+0000', tz='UTC'), Timestamp('2024-08-01 07:00:29+0000', tz='UTC'), Timestamp('2024-08-01 07:01:50+0000', tz='UTC')]","[2683.4382044246695, 3060.4382044246695, 3270.4382044246695, 4049.4382044246695, 3898.4382044246695]","[-856.5958854968728, -463.6214854968729, -331.9102854968729, -45.32025324098372, -211.0610532409837]",0.0,0.0,0.0,0.0,0.0,"[[2.277393268932727, 0.010672308535851242, 0.7850161812508573, 0.6142081866868179], [-2.5580364381846454, 0.15958812722149854, 0.919833753019223, -0.9882165669204959], [2.0714304043956293, 2.1965841232114336, 0.7387923909054538, 0.0460558643754523], [2.16573829735841, -0.10626301946247045, 0.9127025730013149, 0.3331436727235472], [-1.8285009660760039, 0.8893703581529759, -0.006295067739186607, -0.47549979860249064]]"
2024-08-01 07:05:02,2024-08-01 07:12:27,0.12361111111111112,"[3.259333333333333, 1.0796, 0.7143999999999999, 0.7143999999999999, 2.226]","[1504.5384615384614, 2084.5, 1927.8181818181813, 1796.0645161290322, 1717.4827586206898]","[1806.080783621273, 1806.080783621273, 1806.080783621273, 1806.080783621273, 1806.080783621273]","['H', 'M', 'M', 'M', 'H']","['BAW2256', 'EZY32NP', 'EZE51NL', 'AEA36UJ', 'BAW12TB']","[1071.0, 1591.0, 1703.0, 1534.0, 1636.0]","[-735.080783621273, -215.08078362127299, -103.08078362127299, -272.080783621273, -170.08078362127299]","[Timestamp('2024-08-01 07:05:02+0000', tz='UTC'), Timestamp('2024-08-01 07:05:18+0000', tz='UTC'), Timestamp('2024-08-01 07:06:34+0000', tz='UTC'), Timestamp('2024-08-01 07:11:41+0000', tz='UTC'), Timestamp('2024-08-01 07:12:27+0000', tz='UTC')]","[2877.080783621273, 3413.080783621273, 3601.080783621273, 3739.080783621273, 3887.080783621273]","[-2395.873300749602, -232.20121399752628, -73.64091181903741, -194.3745118190374, -378.59982434095366]",0.0,0.0,0.0,0.0,0.0,"[[-1.7007024579782788, 1.526430744602993, -0.9291498984287911, 0.29834133739764757], [-0.6089902049410992, 1.8517503307336594, -0.2858309818571919, 0.5436199073274706], [-0.6477318511690106, 1.2929617145759105, 0.992532144974822, -0.2998880499227662], [2.4596617101834513, 3.187278832733294, -1.6358607999293555, -0.6092959448026156], [1.5152645045736592, 1.4118012924384746, 1.9923512862138382, -0.6689721228248726]]"
2024-08-01 07:21:58,2024-08-01 07:31:46,0.16333333333333333,"[0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999]","[1683.7037037037037, 1290.1, 1942.692307692308, 1839.321428571429, 1563.888888888889]","[1663.941265771266, 1663.941265771266, 1663.941265771266, 1663.941265771266, 1663.941265771266]","['M', 'M', 'M', 'M', 'M']","['EJU49PA', 'WUK9494', 'NSZ4900', 'NSZ3510', 'EJU72TK']","[1703.0, 1521.0, 1690.0, 1670.0, 1298.0]","[39.05873422873401, -142.941265771266, 26.05873422873401, 6.058734228734011, -365.941265771266]","[Timestamp('2024-08-01 07:21:58+0000', tz='UTC'), Timestamp('2024-08-01 07:22:32+0000', tz='UTC'), Timestamp('2024-08-01 07:28:41+0000', tz='UTC'), Timestamp('2024-08-01 07:31:37+0000', tz='UTC'), Timestamp('2024-08-01 07:31:46+0000', tz='UTC')]","[3366.941265771266, 3218.941265771266, 3756.941265771266, 3912.941265771266, 3549.941265771266]","[27.903559733007576, -102.11724026699241, 18.616359733007574, 4.328359733007577, -261.42844026699237]",0.0,0.0,0.0,0.0,0.0,"[[-1.9354569601667062, 0.8701473704503141, 0.13681945147421418, -0.38845886808695235], [-1.1772274796288544, -2.3440528536153713, 1.4481972676120103, -0.2255476333513963], [1.7472347328603195, -0.5205117449782788, 0.6699758231196034, 0.2412477661394343], [2.3599607146474284, 0.13431548754926154, 0.6228265638531231, 0.5705830326546052], [-0.9148388750916369, -1.6370914541042187, 0.5796982782433381, 0.8308236623353232]]"
2024-08-01 07:39:05,2024-08-01 07:45:10,0.10138888888888889,"[2.226, 0.7143999999999999, 0.7143999999999999, 2.226, 0.7143999999999999]","[1929.7, 1517.645161290323, 1397.655172413793, 1591.4333333333334, 1718.2333333333331]","[1630.9334000741565, 1630.9334000741565, 1630.9334000741565, 1630.9334000741565, 1630.9334000741565]","['H', 'M', 'M', 'H', 'M']","['BAW2278', 'UBT70Z', 'WMT8AQ', 'TSC282', 'VLG72UL']","[1757.0, 1238.0, 1415.0, 1809.0, 1569.0]","[126.06659992584355, -392.93340007415645, -215.93340007415645, 178.06659992584355, -61.93340007415645]","[Timestamp('2024-08-01 07:39:05+0000', tz='UTC'), Timestamp('2024-08-01 07:41:41+0000', tz='UTC'), Timestamp('2024-08-01 07:41:52+0000', tz='UTC'), Timestamp('2024-08-01 07:44:10+0000', tz='UTC'), Timestamp('2024-08-01 07:45:10+0000', tz='UTC')]","[3387.9334000741565, 3024.9334000741565, 3212.9334000741565, 3744.9334000741565, 3564.9334000741565]","[280.6242514349277, -280.71162101297733, -154.26282101297735, 396.3762514349277, -44.24522101297737]",0.0,0.0,0.0,0.0,0.0,"[[1.716782310551214, 2.08746549470169, 1.088376457825424, 0.37376050072583256], [-0.47281659700992035, 1.5412239357237512, 0.27058211789162107, -0.08557827184113781], [-1.5823569789400136, 1.3680198519114688, 1.2416170192331801, 1.150492727181849], [-2.1733027869171995, 0.8684937332136617, 0.2632323747034801, 0.0014596557954763012], [0.28497062376363824, -0.8138616159014348, -1.5258430995685803, 0.6117654461333211]]"
2024-08-01 07:49:20,2024-08-01 07:57:57,0.1436111111111111,"[0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999]","[1797.9310344827586, 1541.037037037037, 1982.0833333333333, 1757.0, 1590.8064516129032]","[1733.7715712932063, 1733.7715712932063, 1733.7715712932063, 1733.7715712932063, 1733.7715712932063]","['M', 'M', 'M', 'M', 'M']","['EJU94RQ', 'VLG93RJ', 'BAW923', 'EJU9044', 'TSC728']","[1647.0, 1744.0, 1966.0, 1757.0, 1847.0]","[-86.7715712932063, 10.228428706793693, 232.2284287067937, 23.228428706793693, 113.2284287067937]","[Timestamp('2024-08-01 07:49:20+0000', tz='UTC'), Timestamp('2024-08-01 07:50:08+0000', tz='UTC'), Timestamp('2024-08-01 07:52:52+0000', tz='UTC'), Timestamp('2024-08-01 07:53:15+0000', tz='UTC'), Timestamp('2024-08-01 07:57:57+0000', tz='UTC')]","[3380.7715712932063, 3525.7715712932063, 3911.7715712932063, 3725.7715712932063, 4097.771571293206]","[-61.98961053186658, 7.307189468133413, 165.9039894681334, 16.59438946813341, 80.8903894681334]",0.0,0.0,0.0,0.0,0.0,"[[2.5597548119913673, 2.812356425845871, -0.08901908010600013, -0.8416281770834616], [-1.4067242519481562, 1.5161076283048287, -1.6230373361259711, -0.30275867829668435], [-1.9974105490262162, 0.8440746736654272, -0.14484233213993564, -0.42927459279282076], [-0.6925414239041547, 1.535574828642635, 0.16678920375360107, -0.01403084088271642], [-0.9243049242881047, -2.1677165660790325, 0.14063158600766326, -0.5475164162552362]]"
2024-08-01 08:08:03,2024-08-01 08:17:58,0.16527777777777777,"[0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 2.226, 2.226]","[1708.1666666666667, 1534.8275862068965, 2026.064516129032, 1270.3125, 1602.111111111111]","[1628.2964760227412, 1628.2964760227412, 1628.2964760227412, 1628.2964760227412, 1628.2964760227412]","['M', 'M', 'M', 'H', 'H']","['RYR99LB', 'UBT78T', 'SHT1481', 'BAW2238', 'DAL62']","[1652.0, 1377.0, 2046.0, 1394.0, 1648.0]","[23.703523977258783, -251.29647602274122, 417.7035239772588, -234.29647602274122, 19.703523977258783]","[Timestamp('2024-08-01 08:08:03+0000', tz='UTC'), Timestamp('2024-08-01 08:15:41+0000', tz='UTC'), Timestamp('2024-08-01 08:17:34+0000', tz='UTC'), Timestamp('2024-08-01 08:17:40+0000', tz='UTC'), Timestamp('2024-08-01 08:17:58+0000', tz='UTC')]","[3280.2964760227414, 3463.2964760227414, 4245.296476022741, 3599.2964760227414, 3871.2964760227414]","[16.933797529353672, -179.5262024706463, 298.40739752935366, -521.5439556266219, 43.86004437337805]",0.0,0.0,0.0,0.0,0.0,"[[-1.4367016044452567, 1.3745507384722184, -0.49239736587218297, -0.08651036453931593], [-0.0824378050130377, 1.713671440882502, -0.08624950356221943, -0.42281723064786003], [-0.12481149026886258, 1.9316026037361567, -0.686756339356822, -0.2002963896904263], [2.219959879784239, 2.0772062172119714, 0.8825690957548972, -0.4596206820786975], [-0.9097449915197651, 2.1417434558628115, -0.3912497212902576, 1.2292384086914165]]"
2024-08-01 08:28:25,2024-08-01 08:36:02,0.12694444444444444,"[0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999]","[1484.851851851852, 1597.3076923076924, 1631.142857142857, 1817.0, 1754.2777777777778]","[1656.916035816036, 1656.916035816036, 1656.916035816036, 1656.916035816036, 1656.916035816036]","['M', 'M', 'M', 'M', 'M']","['TAP34A', 'EJU67RD', 'EJU43PE', 'EZY83LM', 'WJA24']","[1557.0, 1668.0, 1689.0, 2009.0, 1661.0]","[-99.9160358160359, 11.083964183964099, 32.0839641839641, 352.0839641839641, 4.083964183964099]","[Timestamp('2024-08-01 08:28:25+0000', tz='UTC'), Timestamp('2024-08-01 08:29:53+0000', tz='UTC'), Timestamp('2024-08-01 08:32:45+0000', tz='UTC'), Timestamp('2024-08-01 08:32:51+0000', tz='UTC'), Timestamp('2024-08-01 08:36:02+0000', tz='UTC')]","[3213.916035816036, 3412.916035816036, 3605.916035816036, 3931.916035816036, 3774.916035816036]","[-71.38001598697603, 7.918384013023951, 22.92078401302395, 251.52878401302394, 2.917584013023952]",0.0,0.0,0.0,0.0,0.0,"[[-1.3298576658802714, 1.2766616348832076, -0.29099595924766375, -0.25297957599851234], [-1.75983491667482, 1.505711165035954, -1.2345117348863277, 0.41019476998167276], [1.437057254405083, 2.0001937039403894, 1.3735842645276881, 0.653787412798217], [-2.0305639535336706, 0.8595327925658797, 0.3022484718674309, -0.2144683473579549], [-0.12866623091868884, 1.9295259266520963, -0.6792463690148701, -0.09252544012760006]]"
2024-08-01 08:45:25,2024-08-01 08:57:00,0.19305555555555556,"[0.7143999999999999, 1.0796, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999]","[1325.0967741935483, 1578.6129032258063, 1536.0384615384614, 1332.0, 1400.2903225806451]","[1434.4076923076923, 1434.4076923076923, 1434.4076923076923, 1434.4076923076923, 1434.4076923076923]","['M', 'M', 'M', 'M', 'M']","['EZS57CL', 'THY6PT', 'IBS3714', 'TAR792', 'WMT506']","[1383.0, 2085.0, 1419.0, 1267.0, 1419.0]","[-51.40769230769229, 650.5923076923077, -15.407692307692287, -167.4076923076923, -15.407692307692287]","[Timestamp('2024-08-01 08:45:25+0000', tz='UTC'), Timestamp('2024-08-01 08:48:13+0000', tz='UTC'), Timestamp('2024-08-01 08:49:03+0000', tz='UTC'), Timestamp('2024-08-01 08:49:46+0000', tz='UTC'), Timestamp('2024-08-01 08:57:00+0000', tz='UTC')]","[2817.4076923076923, 3687.4076923076923, 3071.4076923076923, 2962.4076923076923, 3548.4076923076923]","[-36.725655384615365, 702.3794553846153, -11.007255384615368, -119.59605538461535, -11.007255384615368]",0.0,0.0,0.0,0.0,0.0,"[[-0.18108851764050032, -1.4631052593055587, -0.318066201938219, 0.11609671241669907], [-2.778103950262688, 0.25724947035523293, 1.3646967129239802, -0.3091913503115606], [-1.2219318975242637, -1.856858902123877, 0.3618732000113979, 0.6970435966175316], [1.7413479992952143, -0.5860468577047137, 0.48843561688343745, 0.4382896003032081], [0.3679684767340827, -1.205021749863634, -0.7407867329526852, -0.1076101431553492]]"
2024-08-01 08:57:55,2024-08-01 09:05:24,0.12472222222222222,"[0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 0.7143999999999999, 3.259333333333333]","[1428.7307692307693, 1771.0, 1466.451612903226, 1474.7777777777778, 1461.2758620689656]","[1520.447204396148, 1520.447204396148, 1520.447204396148, 1520.447204396148, 1520.447204396148]","['M', 'M', 'M', 'M', 'H']","['VLG6020', 'AUR2LG', 'WMT766', 'UBT71Y', 'BAW2038']","[1176.0, 1957.0, 1553.0, 1561.0, 1802.0]","[-344.447204396148, 436.552795603852, 32.55279560385202, 40.55279560385202, 281.552795603852]","[Timestamp('2024-08-01 08:57:55+0000', tz='UTC'), Timestamp('2024-08-01 08:58:51+0000', tz='UTC'), Timestamp('2024-08-01 09:00:53+0000', tz='UTC'), Timestamp('2024-08-01 09:02:46+0000', tz='UTC'), Timestamp('2024-08-01 09:05:24+0000', tz='UTC')]","[2696.4472043961478, 3533.4472043961478, 3251.4472043961478, 3372.4472043961478, 3771.4472043961478]","[-246.07308282060808, 311.87331717939185, 23.25571717939188, 28.97091717939188, 917.6744118048216]",0.0,0.0,0.0,0.0,0.0,"[[2.478479228639295, 3.1813388725957252, -1.994593243207235, -0.8878258293521482], [-1.1666232566440975, 1.2370972389615515, 0.8901834459742117, 0.1419749934485386], [-0.8011606549102349, 1.6785911688559658, 0.24624976015950595, 0.5227329199584507], [-1.8121990310584755, 1.0182112476589507, -0.023689588286732226, -0.18518899305127756], [2.029338665826299, -0.4358066454273312, 0.7901807587369264, 0.6225289289284995]]"
