callsign,count,mean,std,min,max
WZZ507,61,1858.344262295082,477.10054444340847,1076.0,3112.0
EZY37JH,61,1927.950819672131,463.68956663661334,1258.0,2962.0
EZS57CL,61,1396.5081967213114,324.8298848603076,1020.0,2683.0
SEH7WA,61,1561.950819672131,337.28689203848944,979.0,2521.0
WMT766,61,1497.1147540983607,272.7148143122321,1028.0,2499.0
UBT70Z,61,1470.9180327868853,301.5340939861786,995.0,2884.0
EZY79TK,61,1613.344262295082,374.345735261131,1004.0,2893.0
WMT506,60,1411.5,325.0981338152674,1010.0,2726.0
EZY806,60,1767.2,386.88253374280697,1042.0,2807.0
JBU2104,60,1405.6166666666666,238.69035978251682,1001.0,2321.0
VLG2QN,60,1926.7333333333333,404.0835148897437,1174.0,2869.0
TSC122,60,1534.5166666666667,344.71439869356584,1062.0,2568.0
EZY91VJ,60,1942.9333333333334,373.73061388038894,1359.0,2676.0
NSZ3516,60,1809.0333333333333,378.798858421251,1106.0,2830.0
BAW2278,60,1981.5166666666667,449.06635694277196,1170.0,3133.0
EZY79RQ,60,1710.4166666666667,487.82729271139016,1031.0,3264.0
WMT84,60,1839.75,423.2117563087847,907.0,3184.0
VLG34RD,60,1618.9,343.91429263403126,1009.0,2575.0
WUK3W,60,1769.4833333333333,523.0290685011449,1197.0,3046.0
EZY72AP,60,1382.6166666666666,354.98126432615976,970.0,2861.0
WUK9494,60,1316.9166666666667,203.73572876435122,924.0,1811.0
VLG3ZZ,60,1725.4666666666667,507.6690322716992,806.0,3325.0
VLG49HR,60,1769.0333333333333,447.1792939123578,1180.0,3330.0
SXS1CW,60,1462.95,280.7157573786658,980.0,2250.0
VLG5WE,60,1693.9833333333333,499.3820755139624,982.0,3161.0
SXS2Y,60,1734.9166666666667,469.7206631737947,1009.0,2971.0
EJU56EQ,60,1841.55,433.2636268358827,1130.0,3022.0
VLG6307,60,1764.9666666666667,385.28554089480036,1136.0,2755.0
EZY83NR,60,1892.0333333333333,447.66963328438044,1129.0,3194.0
THY5GZ,60,1806.7,467.05457525987947,1046.0,3128.0
THY6PT,60,1613.9166666666667,349.9435446801053,1072.0,2562.0
